group,path,fmt,w,h,alpha,size,mode
terrain,crystal,JPEG,512,512,False,85020,RGB
terrain,sky,JPEG,512,512,False,56853,RGB
terrain,road,JPEG,512,512,False,51182,RGB
terrain,aqua,JPEG,512,512,False,45923,RGB
terrain,lava,JPEG,512,512,False,86011,RGB
terrain,meadow,JPEG,512,512,False,100080,RGB
terrain,forest,JPEG,512,512,False,89255,RGB
terrain,desert,JPEG,512,512,False,44848,RGB
terrain,volcano,JPEG,512,512,False,58086,RGB
terrain,ruins,JPEG,512,512,False,77221,RGB
props,mountain,WEBP,528,360,True,34958,RGBA
props,outcrop,WEBP,335,360,True,33114,RGBA
props,grove,WEBP,394,360,True,46034,RGBA
props,vent,WEBP,690,360,True,44232,RGBA
props,tower,WEBP,317,360,True,27970,RGBA
props,stones,WEBP,513,360,True,26312,RGBA
props,mesa,WEBP,621,360,True,44956,RGBA
props,monolith,WEBP,294,360,True,23720,RGBA
sprites,warrior/0,PNG,257,300,True,117435,RGBA
sprites,warrior/1,PNG,387,294,True,121233,RGBA
sprites,wizard/0,PNG,202,300,True,80425,RGBA
sprites,wizard/1,PNG,380,300,True,121312,RGBA
sprites,rogue/0,PNG,287,295,True,93140,RGBA
sprites,rogue/1,PNG,478,267,True,122411,RGBA
sprites,ranger/0,PNG,325,289,True,118151,RGBA
sprites,ranger/1,PNG,349,230,True,113277,RGBA
sprites,skeleton/0,PNG,126,249,True,33971,RGBA
sprites,ogre/0,PNG,148,148,True,35814,RGBA
sprites,zombie/0,PNG,220,280,True,69829,RGBA
sprites,banshee/0,PNG,191,182,True,30216,RGBA
sprites,spider/0,PNG,509,242,True,134369,RGBA
sprites,minotaur/0,PNG,244,320,True,113706,RGBA
sprites,ghost/0,PNG,521,225,True,139505,RGBA
sprites,slime/0,PNG,523,146,True,81513,RGBA
sprites,golem/0,PNG,456,320,True,194549,RGBA
sprites,wisp/0,PNG,256,174,True,75768,RGBA
sprites,arch/0,PNG,231,340,True,141527,RGBA
sprites,arch/1,PNG,242,340,True,161480,RGBA
sprites,arch/2,PNG,229,340,True,115967,RGBA
sprites,bastion/0,PNG,263,380,True,139150,RGBA
sprites,bastion/1,PNG,263,380,True,169819,RGBA
sprites,bastion/2,PNG,264,380,True,205291,RGBA
sprites,chest/0,PNG,254,200,True,122603,RGBA
sprites,chest/1,PNG,231,200,True,109032,RGBA
sprites,dragon/0,PNG,243,173,True,58019,RGBA
sprites,goblin/0,PNG,91,209,True,32942,RGBA
sprites,goblin/1,PNG,146,222,True,40033,RGBA
heroImg,,PNG,324,340,True,143899,RGBA
eaRig,genlock/anims/death/f/0/d,WEBP,122,103,True,5688,RGBA
eaRig,genlock/anims/death/f/1/d,WEBP,122,131,True,5570,RGBA
eaRig,genlock/anims/death/f/2/d,WEBP,133,111,True,5096,RGBA
eaRig,genlock/anims/death/f/3/d,WEBP,148,90,True,5374,RGBA
eaRig,genlock/anims/death/f/4/d,WEBP,151,69,True,4744,RGBA
eaRig,genlock/anims/death/f/5/d,WEBP,150,57,True,4462,RGBA
eaRig,genlock/anims/death/f/6/d,WEBP,152,53,True,4232,RGBA
eaRig,genlock/anims/death/f/7/d,WEBP,153,53,True,3624,RGBA
eaRig,genlock/anims/death/f/8/d,WEBP,153,54,True,3586,RGBA
eaRig,genlock/anims/death/f/9/d,WEBP,153,54,True,3622,RGBA
eaRig,genlock/anims/death/f/10/d,WEBP,153,54,True,3636,RGBA
eaRig,genlock/anims/dmg/f/0/d,WEBP,121,103,True,5640,RGBA
eaRig,genlock/anims/dmg/f/1/d,WEBP,121,94,True,5018,RGBA
eaRig,genlock/anims/dmg/f/2/d,WEBP,121,97,True,5062,RGBA
eaRig,genlock/anims/dmg/f/3/d,WEBP,121,99,True,5150,RGBA
eaRig,genlock/anims/dmg/f/4/d,WEBP,121,100,True,5354,RGBA
eaRig,genlock/anims/dmg/f/5/d,WEBP,121,102,True,5460,RGBA
eaRig,genlock/anims/dmg/f/6/d,WEBP,121,103,True,5640,RGBA
eaRig,genlock/anims/idle/f/0/d,WEBP,121,103,True,5760,RGBA
eaRig,genlock/anims/idle/f/1/d,WEBP,121,103,True,5692,RGBA
eaRig,genlock/anims/idle/f/2/d,WEBP,121,102,True,5584,RGBA
eaRig,genlock/anims/idle/f/3/d,WEBP,121,101,True,5556,RGBA
eaRig,genlock/anims/idle/f/4/d,WEBP,121,101,True,5638,RGBA
eaRig,genlock/anims/idle/f/5/d,WEBP,121,100,True,5564,RGBA
eaRig,genlock/anims/idle/f/6/d,WEBP,121,100,True,5578,RGBA
eaRig,genlock/anims/idle/f/7/d,WEBP,121,100,True,5428,RGBA
eaRig,genlock/anims/idle/f/8/d,WEBP,121,100,True,5406,RGBA
eaRig,genlock/anims/idle/f/9/d,WEBP,121,100,True,5044,RGBA
eaRig,genlock/anims/idle/f/10/d,WEBP,121,100,True,5408,RGBA
eaRig,genlock/anims/idle/f/11/d,WEBP,121,100,True,5536,RGBA
eaRig,genlock/anims/idle/f/12/d,WEBP,121,101,True,5508,RGBA
eaRig,genlock/anims/idle/f/13/d,WEBP,121,101,True,5602,RGBA
