!TF createItem,,,,,,,,,,,,,,,,,,,,
ItemName,ItemType,AppName,Description,ButtonName,SmallImageURL,MediumImageURL,LargeImageURL,MaxInstances,Properties,ExternalKey,AgeRating,ScarcityThreshold,Categories,SKU,SKUExtension,UnitCostCurrencyName,UnitCost,Revision,ExternalCheckRequired,EmailValidationRequired
BATTLE_SLOT,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BATTLE_SLOT"":""1""},""Type"":""OFFER_BATTLE_SLOT"",""ItemName"":""BATTLE_SLOT""}",,,,,,,,,,,
GOLD_BUNDLE_LARGE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""GOLD_BUNDLE_LARGE"":""10000""},""Type"":""OFFER_GOLD_LARGE"",""ItemName"":""GOLD_BUNDLE_LARGE""}",,,,,,,,,,,
GOLD_BUNDLE_MEDIUM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""GOLD_BUNDLE_MEDIUM"":""4500""},""Type"":""OFFER_GOLD_MEDIUM"",""ItemName"":""GOLD_BUNDLE_MEDIUM""}",,,,,,,,,,,
GOLD_BUNDLE_SMALL,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""GOLD_BUNDLE_SMALL"":""2000""},""Type"":""OFFER_GOLD_SMALL"",""ItemName"":""GOLD_BUNDLE_SMALL""}",,,,,,,,,,,
HORN_EVRAS,item,Dragon Age Preprod,Offer Description,HORN_EVRAS,,,,-1,"DATA={""Items"":{""HORN_EVRAS"":""1""},""Type"":""STORE"",""ItemName"":""HORN_EVRAS""}",,,,,,,,,,,
POTION_ENERGY,item,Dragon Age Preprod,Offer Description,POTION_ENERGY,,,,999886,"DATA={""Items"":{""POTION_ENERGY"":""1""},""Type"":""STORE"",""ItemName"":""POTION_ENERGY""}",,,,,,,,,,,
POTION_ENERGY_GREATER,item,Dragon Age Preprod,Offer Description,POTION_ENERGY_GREATER,,,,999932,"DATA={""Items"":{""POTION_ENERGY_GREATER"":""1""},""Type"":""STORE"",""ItemName"":""POTION_ENERGY_GREATER""}",,,,,,,,,,,
POTION_ENERGY_LESSER,item,Dragon Age Preprod,Offer Description,POTION_ENERGY_LESSER,,,,999984,"DATA={""Items"":{""POTION_ENERGY_LESSER"":""1""},""Type"":""STORE"",""ItemName"":""POTION_ENERGY_LESSER""}",,,,,,,,,,,
POTION_HEALTH,item,Dragon Age Preprod,Offer Description,POTION_HEALTH,,,,999986,"DATA={""Items"":{""POTION_HEALTH"":""1""},""Type"":""STORE"",""ItemName"":""POTION_HEALTH""}",,,,,,,,,,,
POTION_HEALTH_GREATER,item,Dragon Age Preprod,Offer Description,POTION_HEALTH_GREATER,,,,999991,"DATA={""Items"":{""POTION_HEALTH_GREATER"":""1""},""Type"":""STORE"",""ItemName"":""POTION_HEALTH_GREATER""}",,,,,,,,,,,
